text,language
Niko soko leo,Swahili
Ninakupenda sana,Swahili
Habari yako,Swahili
Naenda shule,Swahili
Hii ni nzuri,Swahili
Tuko pamoja,Swahili
Nipe maji tafadhali,Swahili
Leo ni siku nzuri,Swahili
Ninakula chakula,Swahili
Twende kazi,Swahili
Niko nyumbani,Swahili
Nataka chai,Swahili
Hali ya hewa ni nzuri,Swahili
Ninakimbia haraka,Swahili
Ninacheza mpira,Swahili
Niko safarini,Swahili
Ninapenda muziki,Swahili
Tunajifunza leo,Swahili
Nitakuja kesho,Swahili
Ninaandika barua,Swahili
Ninafurahia maisha,Swahili
Ninapika chakula,Swahili
Ninatazama runinga,Swahili
Ninatembea polepole,Swahili
Ninakunywa maji,Swahili
Ninafanya kazi,Swahili
Ninaona ndege,Swahili
Ninapanda gari,Swahili
Ninasoma kitabu,Swahili
Ninacheka sana,Swahili
Ninafikiria sana,Swahili
Ninapenda kusafiri,Swahili
Ninacheza muziki,Swahili
Ninatembelea rafiki,Swahili
Ninaoga sasa,Swahili
Ninapumzika kidogo,Swahili
Ninakimbia kila siku,Swahili
Ninapika ugali,Swahili
Ninakula matunda,Swahili
Ninaamka mapema,Swahili
Ninapenda chai,Swahili
Ninacheza na watoto,Swahili
Ninafua nguo,Swahili
Ninaenda kazini,Swahili
Ninatafuta kazi,Swahili
Ninapiga simu,Swahili
Ninaandika ujumbe,Swahili
Ninatembea mjini,Swahili
Ninafanya mazoezi,Swahili

I am going home,English
This is my book,English
Call me later,English
We will meet tomorrow,English
That is good,English
I like music,English
She is cooking food,English
He is running fast,English
They are playing football,English
We are learning today,English
I am drinking water,English
She is reading a book,English
He is watching TV,English
They are going to school,English
I am writing a letter,English
She is singing a song,English
He is driving a car,English
They are eating food,English
We are traveling today,English
I am working now,English
She is cleaning the house,English
He is fixing the car,English
They are building a house,English
We are studying hard,English
I am sleeping now,English
She is dancing well,English
He is teaching students,English
They are playing games,English
We are enjoying life,English
I am walking slowly,English
She is talking loudly,English
He is jumping high,English
They are swimming fast,English
We are cooking dinner,English
I am buying food,English
She is selling clothes,English
He is opening the door,English
They are closing the shop,English
We are visiting friends,English
I am cleaning my room,English
She is painting a wall,English
He is fixing a bike,English
They are reading books,English
We are writing notes,English
I am calling you,English
She is sending a message,English
He is checking emails,English
They are watching movies,English
We are playing music,English

Wacha tuende base,Sheng
Niaje bro,Sheng
Hii ni noma sana,Sheng
Sasa wasee,Sheng
Tuko rada,Sheng
Uko aje,Sheng
Hii story ni kali,Sheng
Manze si poa,Sheng
Niko fiti,Sheng
Twendi job,Sheng
Niko area,Sheng
Uko base,Sheng
Hii ni legit,Sheng
Tuko pamoja bro,Sheng
Niaje man,Sheng
Hii ni freshi,Sheng
Niko busy kiasi,Sheng
Tuko sawa,Sheng
Hii ni noma bro,Sheng
Manze hii kali,Sheng
Niko kwa base,Sheng
Uko rada aje,Sheng
Tuko set,Sheng
Hii ni dope,Sheng
Manze ni legit,Sheng
Niko freshi,Sheng
Tuko fiti,Sheng
Hii ni mbaya,Sheng
Manze hii noma,Sheng
Niko job,Sheng
Uko fiti aje,Sheng
Tuko sawa bro,Sheng
Hii ni kali sana,Sheng
Manze si mbaya,Sheng
Niko rada,Sheng
Uko job,Sheng
Tuko base sasa,Sheng
Hii ni legit bro,Sheng
Manze hii freshi,Sheng
Niko sawa,Sheng
Uko area,Sheng
Tuko pamoja sana,Sheng
Hii ni noma kabisa,Sheng
Manze hii dope,Sheng
Niko base leo,Sheng
Uko set aje,Sheng
Tuko fiti sana,Sheng
Hii ni kali bro,Sheng
Manze ni sawa,Sheng

An gi tich matek,Luo
Idhi nade,Luo
Aheri ahinya,Luo
An gi pesa,Luo
Idhi maber,Luo
An gi chuny,Luo
Idhi e dala,Luo
An gi nyithindo,Luo
Idhi matek,Luo
An gi puodho,Luo
Idhi e piny,Luo
An gi rieko,Luo
Idhi maber ahinya,Luo
An gi teko,Luo
Idhi gi chuny,Luo
An gi ber,Luo
Idhi gi teko,Luo
An gi winjo,Luo
Idhi gi rieko,Luo
An gi teko matek,Luo
Idhi gi ber,Luo
An gi winjo maber,Luo
Idhi gi teko ahinya,Luo
An gi rieko matek,Luo
Idhi gi chuny maber,Luo
An gi ber ahinya,Luo
Idhi gi winjo matek,Luo
An gi teko maber,Luo
Idhi gi rieko ahinya,Luo
An gi chuny matek,Luo
Idhi gi ber matek,Luo
An gi winjo ahinya,Luo
Idhi gi teko maber,Luo
An gi rieko maber,Luo
Idhi gi chuny ahinya,Luo
An gi ber matek,Luo
Idhi gi winjo maber,Luo
An gi teko ahinya,Luo
Idhi gi rieko matek,Luo
An gi chuny maber,Luo
Idhi gi ber ahinya,Luo
An gi winjo matek,Luo
Idhi gi teko matek,Luo
An gi rieko ahinya,Luo
Idhi gi chuny matek,Luo
An gi ber maber,Luo
Idhi gi winjo ahinya,Luo
An gi teko maber,Luo
Idhi gi rieko maber,Luo
